element,key,ref,type,tagged_content,date,source_file
"name","","","weather","fine pleasant day","1862-06-25","1862-06-25.xml"
"objectName","","","equipment","","1862-06-25","1862-06-25.xml"
"persName","Col. Nagel","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper167","","Col Nagle","1862-06-25","1862-06-25.xml"
"persName","","","","Capt Pollock","1862-06-25","1862-06-25.xml"
"persName","Lt Col Joshua K Sigfried","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper172","","Lt Col. Sigfried","1862-06-25","1862-06-25.xml"
"persName","Lt Col Joshua K Sigfried","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper172","","Lt. Col. Sigfried","1862-06-25","1862-06-25.xml"
"persName","Col. Nagel","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper167","","Col. Nagele","1862-06-25","1862-06-25.xml"
"persName","Matthew Vandine","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper065","real","Vandine","1862-06-25","1862-06-25.xml"
"persName","William Allison","https://raw.githubusercontent.com/BucknellDSC/jmlinn/refs/heads/main/jmlinn_personography.xml#jmlper082","","Billy Allison","1862-06-25","1862-06-25.xml"
